Conference,Name
Big West Conference,University of California – Riverside
Big West Conference,University of California – San Diego
Big West Conference,University of California – Santa Barbara
Southland Conference,University of Central Arkansas
Big 12 Conference,University of Central Florida
American Athletic Conference,University of Central Florida
American Athletic Conference,University of Cincinnati
Pacific-12 Conference,University of Colorado – Boulder
Big East Conference,University of Connecticut
Atlantic 10 Conference,University of Dayton
Colonial Athletic Association,University of Delaware
The Summit League,University of Denver
Horizon League,University of Detroit Mercy
Missouri Valley Conference,University of Evansville
Southeastern Conference,University of Florida
Southeastern Conference,University of Georgia
Mountain West Conference,University of Hawaii at Manoa
American Athletic Conference,University of Houston
Big Sky Conference,University of Idaho
Big Ten Conference,University of Illinois
Missouri Valley Conference,University of Illinois at Chicago
Big Ten Conference,University of Iowa
Big 12 Conference,University of Kansas
Southeastern Conference,University of Kentucky
Sun Belt Conference,University of Louisiana
Sun Belt Conference,University of Louisiana – Monroe
Atlantic Coast Conference,University of Louisville
America East Conference,University of Maine
Big Ten Conference,University of Maryland
America East Conference,University of Maryland – Baltimore County
Mid-Eastern Athletic Conference,University of Maryland Eastern Shore
Atlantic 10 Conference,University of Massachusetts – Amherst
America East Conference,University of Massachusetts – Lowell
American Athletic Conference,University of Memphis
Atlantic Coast Conference,University of Miami
Big Ten Conference,University of Michigan
Big Ten Conference,University of Minnesota
Southeastern Conference,University of Mississippi
Southeastern Conference,University of Missouri
The Summit League,University of Missouri – Kansas City
Big Sky Conference,University of Montana
Big Ten Conference,University of Nebraska
The Summit League,University of Nebraska at Omaha
Mountain West Conference,University of Nevada – Las Vegas
Mountain West Conference,University of Nevada – Reno
American East Conference,University of New Hampshire
Mountain West Conference,University of New Mexico
Southland Conference,University of New Orleans
Gulf South Conference,University of North Alabama
Southern Conference,University of North Carolina – Greensboro
Colonial Athletic Association,University of North Carolina – Wilmington
Big South Conference,University of North Carolina Asheville
Atlantic Coast Conference,University of North Carolina at Chapel Hill
Conference USA,University of North Carolina at Charlotte
Big Sky Conference,University of North Dakota
Atlantic Sun Conference,University of North Florida
Conference USA,University of North Texas
Big Sky Conference,University of Northern Colorado
Missouri Valley Conference,University of Northern Iowa
Division I-A Independents,University of Notre Dame
Big 12 Conference,University of Oklahoma
Pacific-12 Conference,University of Oregon
Ivy League,University of Pennsylvania – Penn
Atlantic Coast Conference,University of Pittsburgh
West Coast Conference,University of Portland
Atlantic Ten Conference,University of Rhode Island
Atlantic 10 Conference,University of Richmond
West Coast Conference,University of San Diego
West Coast Conference,University of San Francisco
Sun Belt Conference,University of South Alabama
Southeastern Conference,University of South Carolina
Big South Conference,University of South Carolina – Upstate
The Summit League,University of South Dakota
American Athletic Conference,University of South Florida
Pacific-12 Conference,University of Southern California
Sun Belt Conference,University of Southern Mississippi
The Summit League,University of St. Thomas – Minnesota
Southeastern Conference,University of Tennessee
Southern Conference,University of Tennessee – Chattanooga
Ohio Valley Conference,University of Tennessee – Martin
Western Atlantic Conference,University of Texas – Arlington
Western Athletic Conference,University of Texas – Arlington
Big 12 Conference,University of Texas – Austin
Conference USA,University of Texas – El Paso
Western Athletic Conference,University of Texas – Rio Grande Valley
Conference USA,University of Texas – San Antonio
Southland Conference,University of the Incarnate Word
West Coast Conference,University of the Pacific
Mid-American Conference,University of Toledo
American Athletic Conference,University of Tulsa
Pacific-12 Conference,University of Utah
America East Conference,University of Vermont
Atlantic Coast Conference,University of Virginia
Pacific-12 Conference,University of Washington
Big Ten Conference,University of Wisconsin
Horizon League,University of Wisconsin – Green Bay
Horizon League,University of Wisconsin – Milwaukee
Mountain West Conference,University of Wyoming
Mountain West Conference,Utah State University
Western Athletic Conference,Utah Tech University
Western Athletic Conference,Utah Valley University
Missouri Valley Conference,Valparaiso University
